Occupation
Computer Systems Analysts
Health Informatics Specialists
Information Security Analysts
Computer and Information Research Scientists
Computer Network Support Specialists
Computer User Support Specialists
Computer Network Architects
Telecommunications Engineering Specialists
Database Administrators
Database Architects
Data Warehousing Specialists
Network and Computer Systems Administrators
Computer Programmers
Software Quality Assurance Analysts and Testers
Web Developers
Video Game Designers
Web Administrators
Geographic Information Systems Technologists and Technicians
Document Management Specialists
Computer Systems Engineers/Architects
Information Technology Project Managers
Actuaries
Mathematicians
Operations Research Analysts
Statisticians
Biostatisticians
Business Intelligence Analysts
Clinical Data Managers
Bioinformatics Technicians
